Local_CORNERS_AF_AVG,Local_CORNERS_EC_AVG,Visitante_CORNERS_AF_AVG,Visitante_CORNERS_EC_AVG,Local_ST_AF_AVG,Local_ST_EC_AVG,Visitante_ST_AF_AVG,Visitante_ST_EC_AVG,FACTOR_LOCAL,CORNERS_TOTAL_PARTIDO
6.2,5.1,5.1,6.2,13.25,10.4,10.4,13.25,1,11
5.199999999999999,6.8999999999999995,6.8999999999999995,5.199999999999999,12.45,14.850000000000001,14.850000000000001,12.45,1,13
4.4,7.2,7.2,4.4,12.399999999999999,14.85,14.85,12.399999999999999,1,6
6.6,5.0,5.0,6.6,13.6,12.600000000000001,12.600000000000001,13.6,1,14
8.1,2.9,2.9,8.1,13.85,13.100000000000001,13.100000000000001,13.85,1,7
6.5,5.699999999999999,5.699999999999999,6.5,13.45,13.9,13.9,13.45,1,9
5.0,5.9,5.9,5.0,11.75,16.299999999999997,16.299999999999997,11.75,1,14
5.4,6.5,6.5,5.4,15.100000000000001,12.8,12.8,15.100000000000001,1,7
6.3,5.699999999999999,5.699999999999999,6.3,13.25,12.4,12.4,13.25,1,11
9.8,3.0999999999999996,3.0999999999999996,9.8,18.75,8.75,8.75,18.75,1,12
5.800000000000001,5.3,5.3,5.800000000000001,13.9,13.7,13.7,13.9,1,9
5.9,4.6,4.6,5.9,12.5,15.4,15.4,12.5,1,11
4.4,7.9,7.9,4.4,13.399999999999999,13.55,13.55,13.399999999999999,1,9
4.8,6.4,6.4,4.8,11.55,14.3,14.3,11.55,1,13
4.300000000000001,6.300000000000001,6.300000000000001,4.300000000000001,12.05,13.3,13.3,12.05,1,7
6.1,6.1,6.1,6.1,13.45,15.2,15.2,13.45,1,11
4.6,7.1,7.1,4.6,11.85,16.05,16.05,11.85,1,13
4.9,6.199999999999999,6.199999999999999,4.9,13.8,15.3,15.3,13.8,1,12
4.1,7.800000000000001,7.800000000000001,4.1,13.0,13.45,13.45,13.0,1,7
4.5,7.0,7.0,4.5,10.75,18.65,18.65,10.75,1,9
5.2,5.9,5.9,5.2,14.100000000000001,13.8,13.8,14.100000000000001,1,17
4.9,6.5,6.5,4.9,11.899999999999999,14.8,14.8,11.899999999999999,1,15
7.9,3.4000000000000004,3.4000000000000004,7.9,17.75,9.3,9.3,17.75,1,11
7.699999999999999,3.6,3.6,7.699999999999999,13.649999999999999,11.8,11.8,13.649999999999999,1,7
5.6,4.6,4.6,5.6,13.9,12.15,12.15,13.9,1,4
7.6,4.9,4.9,7.6,16.2,11.6,11.6,16.2,1,18
4.6,7.199999999999999,7.199999999999999,4.6,12.85,13.9,13.9,12.85,1,11
4.699999999999999,6.6,6.6,4.699999999999999,11.55,17.0,17.0,11.55,1,12
5.300000000000001,5.3,5.3,5.300000000000001,11.9,15.6,15.6,11.9,1,12
4.3,3.9,3.9,4.3,14.65,11.75,11.75,14.65,1,13
6.2,5.199999999999999,5.199999999999999,6.2,14.149999999999999,11.85,11.85,14.149999999999999,1,11
7.0,4.6,4.6,7.0,15.9,11.7,11.7,15.9,1,10
4.3,5.3,5.3,4.3,11.55,13.5,13.5,11.55,1,7
5.9,5.3,5.3,5.9,11.75,15.4,15.4,11.75,1,15
6.199999999999999,5.0,5.0,6.199999999999999,15.0,12.5,12.5,15.0,1,11
6.1,6.199999999999999,6.199999999999999,6.1,15.45,11.55,11.55,15.45,1,14
5.4,6.6,6.6,5.4,12.15,16.35,16.35,12.15,1,7
5.8,4.9,4.9,5.8,16.85,11.05,11.05,16.85,1,14
3.6,6.6,6.6,3.6,12.9,13.0,13.0,12.9,1,8
6.300000000000001,4.8,4.8,6.300000000000001,10.9,16.0,16.0,10.9,1,15
6.800000000000001,4.9,4.9,6.800000000000001,16.05,12.05,12.05,16.05,1,15
8.2,3.0,3.0,8.2,15.05,11.850000000000001,11.850000000000001,15.05,1,6
4.0,6.0,6.0,4.0,11.5,16.15,16.15,11.5,1,10
4.4,6.4,6.4,4.4,13.15,13.05,13.05,13.15,1,19
4.0,6.699999999999999,6.699999999999999,4.0,12.5,14.5,14.5,12.5,1,11
6.7,2.7,2.7,6.7,14.95,10.149999999999999,10.149999999999999,14.95,1,10
6.6,5.0,5.0,6.6,13.9,11.5,11.5,13.9,1,9
5.0,5.3,5.3,5.0,11.5,15.9,15.9,11.5,1,7
3.3,7.699999999999999,7.699999999999999,3.3,11.05,15.399999999999999,15.399999999999999,11.05,1,10
6.5,4.5,4.5,6.5,13.8,13.350000000000001,13.350000000000001,13.8,1,7
6.0,7.6,7.6,6.0,11.3,17.1,17.1,11.3,1,7
4.4,4.5,4.5,4.4,15.15,11.0,11.0,15.15,1,10
4.1,6.6,6.6,4.1,14.05,13.05,13.05,14.05,1,13
5.6,5.1,5.1,5.6,14.25,14.450000000000001,14.450000000000001,14.25,1,13
6.5,5.1,5.1,6.5,15.649999999999999,13.5,13.5,15.649999999999999,1,18
7.2,4.4,4.4,7.2,14.149999999999999,10.75,10.75,14.149999999999999,1,6
5.5,6.0,6.0,5.5,13.05,14.05,14.05,13.05,1,3
5.7,6.1,6.1,5.7,14.55,15.65,15.65,14.55,1,12
4.0,6.7,6.7,4.0,12.9,16.5,16.5,12.9,1,14
7.8,3.4,3.4,7.8,15.35,11.149999999999999,11.149999999999999,15.35,1,9
4.4,6.9,6.9,4.4,10.149999999999999,16.25,16.25,10.149999999999999,1,11
3.2,6.1,6.1,3.2,10.4,16.65,16.65,10.4,1,7
5.3,5.4,5.4,5.3,15.0,11.25,11.25,15.0,1,14
5.9,6.2,6.2,5.9,14.5,12.35,12.35,14.5,1,12
6.0,4.6,4.6,6.0,15.149999999999999,10.95,10.95,15.149999999999999,1,7
5.1,4.5,4.5,5.1,13.850000000000001,10.7,10.7,13.850000000000001,1,13
5.9,5.0,5.0,5.9,14.95,9.85,9.85,14.95,1,4
6.0,3.8,3.8,6.0,14.6,12.05,12.05,14.6,1,15
6.4,6.9,6.9,6.4,15.6,13.4,13.4,15.6,1,7
